ANIO,DELEGACIONES,SERVICIOS CULTURALES OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS DEPORTIVOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS TURISTICOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS FUNERARIOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,TALLERES DE TERAPIA OCUPACIONAL OTORGADOS A PENSIONADOS,SOCIALES COMEDORES OTORGADOS A PENSIONADOS,FOMENTO DEPORTIVO OTORGADOS A PENSIONADOS,SERVICIOS EN TURISMO OTORGADOS A PENSIONADOS,SERVICIOS CULTURALES OTORGADOS A PENSIONADOS
2016,REGIONAL PONIENTE,103051,0,64328,0,3707,0,11732,0,21376
2016,OFICINAS CENTRALES,972448,0,0,0,0,0,0,0,23673
2016,CONVIVE CD. MEX.,0,0,0,0,6060,41507,0,34556,0
2016,ISSSTEHUIXTLA,0,0,0,73308,0,0,0,0,0
2017,AGUASCALIENTES,25627,28418,0,163,4376,0,13336,0,5436
2017,BAJA CALIFORNIA. NORTE,68545,47250,0,68,4873,0,3005,0,9269
2017,BAJA CALIFORNIA. SUR,17482,38154,0,8,1617,0,3696,0,2710
2017,CAMPECHE,76202,75016,0,71,6956,0,5394,0,16876
2017,COAHUILA,75566,68053,0,10,43535,0,15165,0,6089
2017,COLIMA,68319,30959,0,84,6429,0,1386,0,9633
2017,CHIAPAS,80363,25670,0,99,2207,0,13301,0,11454
2017,CHIHUAHUA,79465,71098,0,180,13584,0,3363,0,11802
2017,DURANGO,89897,43832,0,64,22291,0,12640,0,7705
2017,GUANAJUATO,45528,44394,0,167,10913,0,4177,0,32107
2017,GUERRERO ,37993,31886,0,77,2214,0,2900,0,675
2017,HIDALGO,121807,72504,0,81,1583,0,2427,0,8543
2017,JALISCO,109999,37416,0,152,7872,0,3197,0,7792
2017,MEXICO,236567,33015,0,3555,6288,0,3915,0,11731
2017,MICHOACAN ,67230,29210,0,5,9461,0,3608,0,10177
2017,MORELOS,81174,14002,0,54,2028,0,4451,0,6015
2017,NAYARIT,46665,49605,0,265,2488,0,3296,0,3096
2017,NUEVO LEON,108205,34249,0,1174,4570,0,2269,0,7634
2017,OAXACA,278566,34747,0,110,50835,0,7023,0,79082
2017,PUEBLA,82972,55731,0,364,5724,0,2030,0,12046
2017,QUERETARO,51946,38068,0,36,11962,0,6942,0,18551
2017,QUINTANA ROO,35766,40314,0,0,120,0,2290,0,2228
2017,SAN LUIS POTOSI,184992,85679,0,98,7628,0,12462,0,9697
2017,SINALOA ,67339,15312,0,0,12669,0,1521,0,8259
2017,SONORA,100728,23999,0,50,1940,0,11549,0,6843
2017,TABASCO,101825,32865,0,126,6830,0,1175,0,25155
2017,TAMAULIPAS,22121,26970,0,10,3874,0,1920,0,1670
2017,TLAXCALA,95061,25403,0,131,6243,0,2863,0,8169
2017,VERACRUZ,70079,51068,0,97,3704,0,6003,0,678
2017,YUCATAN,107583,74792,0,85,15801,0,15518,0,11441
2017,ZACATECAS,121744,97592,0,424,20491,0,16167,0,9836
2017,DELEGACION NORTE,145522,94954,0,4230,6760,0,18840,0,10723
2017,DELEGACION SUR,85815,137343,0,9983,5769,0,17689,0,13474
2017,DELEGACION ORIENTE,34875,78460,0,147,9902,0,27179,0,14663
2017,DELEGACION PONIENTE,151018,88924,0,2197,16229,0,17506,0,26677
2017,OFICINAS CENTRALES,1138040,0,0,0,0,0,0,0,12874
2017,CONVIVE CD. MEX.,0,0,0,0,3558,61754,0,52806,0
2017,ISSSTEHUIXTLA,0,0,80090,0,0,21686,0,26024,10068
2018,AGUASCALIENTES,17227,21839,0,63,0,0,10792,0,4878
2018,BAJA CALIFORNIA. NORTE,67147,40468,0,55,4987,0,3952,0,10182
2018,BAJA CALIFORNIA. SUR,13774,36099,0,19,836,0,3580,0,3467
2018,CAMPECHE,57071,71603,0,52,10027,0,5383,0,11190
2018,COAHUILA,79543,74767,0,36,45159,0,17750,0,6397
2018,COLIMA,67456,23896,0,29,7827,0,18299,0,13524
2018,CHIAPAS,58020,20673,0,153,2074,0,14528,0,13402
2018,CHIHUAHUA,54085,70331,0,163,9040,0,3363,0,2038
2018,DURANGO,98725,44913,0,84,21983,0,12680,0,11056
2018,GUANAJUATO,37452,46664,0,108,4111,0,3037,0,18098
2018,GUERRERO ,37752,36828,0,86,2340,0,2170,0,1813
2018,HIDALGO,140786,72045,0,101,1898,0,3440,0,7624
2018,JALISCO,107142,36706,0,164,9171,0,3218,0,7270
2018,MEXICO,240729,32217,0,3131,8336,0,3185,0,10854
2018,MICHOACAN ,50676,17739,0,10,6279,0,1779,0,8438
2018,MORELOS,84731,18619,0,62,1803,0,5039,0,5945
2018,NAYARIT,50722,56171,0,249,2904,0,3292,0,2030
2018,NUEVO LEON,99373,34177,0,1825,3221,0,2268,0,5132
2018,OAXACA,275284,44439,0,103,51000,0,10752,0,77654
2018,PUEBLA,81969,51792,0,210,6824,0,1370,0,11169
2018,QUERETARO,55687,39038,0,15,7835,0,9476,0,12450
2018,QUINTANA ROO,20901,43817,0,0,11445,0,2252,0,3413
2018,SAN LUIS POTOSI,196588,85222,0,117,7158,0,12025,0,15704
